C:\mbw\results\A16_244.txt
RUN INFORMATION:
================
Counting protocol no: 16                                  Fri 18-Jan-2019  5:22
Name: COPY_OF_H-3_KORTYZOL_5_MIN
CPM normalization protocol no:  2


*** DETECTORS NOT NORMALIZED


COLUMNS:
========
 	SAMPLE	POS	CCPM1	CCPM1%	
 	Unk_299	B05	283	5.3	
 	Unk_300	B06	296	5.2	
 	Unk_301	C01	333	4.9	
 	Unk_302	C02	395	4.5	
 	Unk_303	C03	336	4.9	
 	Unk_304	C04	339	4.9	
 	Unk_305	C05	189	6.5	
 	Unk_306	C06	183	6.6	
 	Unk_307	D01	215	6.1	
 	Unk_308	D02	248	5.7	
 	Unk_309	D03	236	5.8	
 	Unk_310	D04	239	5.8	
 	Unk_311	D05	289	5.3	
 	Unk_312	D06	304	5.1	
 	Unk_313	A01	306	5.1	
 	Unk_314	A02	293	5.2	
 	Unk_315	A03	368	4.7	
 	Unk_316	A04	340	4.8	
 	Unk_317	A05	383	4.6	
 	Unk_318	A06	394	4.5	
 	Unk_319	B01	348	4.8	
 	Unk_320	B02	370	4.7	
 	Unk_321	B03	265	5.5	
 	Unk_322	B04	255	5.6	
 	Unk_323	B05	208	6.2	
 	Unk_324	B06	227	5.9	
 	Unk_325	C01	216	6.1	
 	Unk_326	C02	199	6.3	
 	Unk_327	C03	249	5.7	
 	Unk_328	C04	265	5.5	
 	Unk_329	C05	302	5.1	
 	Unk_330	C06	325	5.0	
 	Unk_331	D01	358	4.7	
 	Unk_332	D02	358	4.7	
 	Unk_333	D03	386	4.6	
 	Unk_334	D04	377	4.6	
 	Unk_335	D05	370	4.6	
 	Unk_336	D06	397	4.5	
 	Unk_337	A01	385	4.6	
 	Unk_338	A02	416	4.4	
 	Unk_339	A03	435	4.3	
 	Unk_340	A04	438	4.3	
 	Unk_341	A05	429	4.3	
 	Unk_342	A06	388	4.5	
 	Unk_343	B01	356	4.7	
 	Unk_344	B02	283	5.3	
 	Unk_345	B03	284	5.3	
 	Unk_346	B04	281	5.3	
 	Unk_347	B05	307	5.1	
 	Unk_348	B06	305	5.1	
 	Unk_349	C01	311	5.1	
 	Unk_350	C02	320	5.0	
 	Unk_351	C03	386	4.6	
 	Unk_352	C04	403	4.5	
 	Unk_353	C05	411	4.4	
 	Unk_354	C06	410	4.4	
 	Unk_355	D01	471	4.1	
 	Unk_356	D02	451	4.2	
 	Unk_357	D03	468	4.1	
 	Unk_358	D04	501	4.0	
 	Unk_359	D05	465	4.1	
 	Unk_360	D06	463	4.2	
 	Unk_361	A01	456	4.2	
 	Unk_362	A02	451	4.2	
 	Unk_363	A03	487	4.1	
 	Unk_364	A04	481	4.1	
 	Unk_365	A05	477	4.1	
 	Unk_366	A06	431	4.3	
 	Unk_367	B01	343	4.8	
 	Unk_368	B02	359	4.7	
 	Unk_369	B03	418	4.4	
 	Unk_370	B04	428	4.3	
 	Unk_371	B05	438	4.3	
 	Unk_372	B06	537	3.9	
 	Unk_373	C01	460	4.2	
 	Unk_374	C02	503	4.0	
 	Unk_375	C03	303	5.1	
 	Unk_376	C04	286	5.3	
 	Unk_377	C05	334	4.9	
 	Unk_378	C06	313	5.1	
 	Unk_379	D01	344	4.8	
 	Unk_380	D02	346	4.8	
 	Unk_381	D03	16	22.5	
 	Unk_382	D04	18	21.1	
 	Unk_383	D05	17	22.0	
 	Unk_384	D06	19	20.3	

PLATES:
=======
Plate 1
Cassette information:
Assay:-/Prot:16/Cass:16/Func:-/Cassette no:   1/Shelf: 1/4*6


CCPM1

 	1	2	3	4	5	6	
A	1976	1982	49	32	36	458	
B	459	447	412	390	378	352	
C	322	316	225	249	165	174	
D	102	116	74	65	512	536	

End of plate 1
Plate 2
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   2/Shelf: 2/4*6


CCPM1

 	1	2	3	4	5	6	
A	219	224	164	191	226	230	
B	293	279	325	347	386	388	
C	372	379	293	330	252	237	
D	225	247	211	220	313	295	

End of plate 2
Plate 3
Cassette information:
