C:\mbw\results\A16_272.txt
RUN INFORMATION:
================
Counting protocol no: 16                                  Tue  5-Mar-2019  6:04
Name: COPY_OF_H-3_KORTYZOL_5_MIN
CPM normalization protocol no:  2


*** DETECTORS NOT NORMALIZED


COLUMNS:
========
 	SAMPLE	POS	CCPM1	CCPM1%	
 	Unk_364	A04	360	4.7	
 	Unk_365	A05	276	5.4	
 	Unk_366	A06	278	5.4	
 	Unk_367	B01	89	9.5	
 	Unk_368	B02	59	11.7	
 	Unk_369	B03	289	5.3	
 	Unk_370	B04	280	5.3	
 	Unk_371	B05	459	4.2	
 	Unk_372	B06	407	4.4	
 	Unk_373	C01	500	4.0	
 	Unk_374	C02	464	4.2	
 	Unk_375	C03	451	4.2	
 	Unk_376	C04	429	4.3	
 	Unk_377	C05	423	4.4	
 	Unk_378	C06	416	4.4	
 	Unk_379	D01	426	4.3	
 	Unk_380	D02	394	4.5	
 	Unk_381	D03	500	4.0	
 	Unk_382	D04	450	4.2	
 	Unk_383	D05	497	4.0	
 	Unk_384	D06	449	4.2	

PLATES:
=======
Plate 1
Cassette information:
Assay:-/Prot:16/Cass:16/Func:-/Cassette no:   1/Shelf: 1/4*6


CCPM1

 	1	2	3	4	5	6	
A	1621	1652	34	31	32	63	
B	37	40	398	384	349	339	
C	303	303	232	223	166	170	
D	105	105	80	34	18	16	

End of plate 1
Plate 2
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   2/Shelf: 2/4*6


CCPM1

 	1	2	3	4	5	6	
A	328	354	272	257	258	230	
B	241	240	318	294	315	294	
C	229	271	238	242	195	188	
D	199	200	245	229	245	234	

End of plate 2
Plate 3
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   3/Shelf: 3/4*6


CCPM1

 	1	2	3	4	5	6	
A	208	210	204	219	189	194	
B	312	287	325	325	393	344	
C	371	381	235	224	215	204	
D	184	181	211	178	242	250	

End of plate 3
Plate 4
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   4/Shelf: 4/4*6


CCPM1

 	1	2	3	4	5	6	
A	263	241	319	338	288	316	
B	281	322	348	331	365	444	
C	484	507	266	247	336	353	
D	383	399	367	364	432	421	

End of plate 4
Plate 5
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   5/Shelf: 5/4*6


CCPM1

 	1	2	3	4	5	6	
A	356	375	368	357	321	300	
B	263	329	249	245	276	281	
C	364	389	401	395	316	304	
D	312	330	348	381	436	413	

End of plate 5
Plate 6
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   6/Shelf: 6/4*6


CCPM1

 	1	2	3	4	5	6	
A	389	362	352	352	335	321	
B	401	390	384	387	363	369	
C	369	371	341	385	371	377	
D	461	507	371	355	285	268	

End of plate 6
Plate 7
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   7/Shelf: 7/4*6


CCPM1

 	1	2	3	4	5	6	
A	237	226	236	265	258	234	
B	242	235	231	224	236	211	
C	231	253	290	294	370	335	
D	351	317	375	355	345	279	

End of plate 7
Plate 8
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   8/Shelf: 8/4*6


CCPM1

 	1	2	3	4	5	6	
A	238	263	226	262	282	260	
B	328	330	324	335	356	356	
C	416	451	403	405	377	391	
D	361	396	372	365	370	369	

End of plate 8
Plate 9
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   9/Shelf: 9/4*6


CCPM1

 	1	2	3	4	5	6	
A	380	375	455	394	289	264	
B	300	308	364	373	439	402	
C	568	543	609	631	585	578	
D	492	522	516	536	556	504	

End of plate 9
Plate 10
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  10/Shelf:10/4*6


CCPM1

 	1	2	3	4	5	6	
A	461	434	463	778	452	446	
B	334	354	325	370	332	364	
C	385	347	396	392	361	389	
D	274	176	514	482	461	428	

End of plate 10
Plate 11
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  11/Shelf:11/4*6


CCPM1

 	1	2	3	4	5	6	
A	496	443	481	487	372	370	
B	404	412	439	465	406	386	
C	403	447	389	395	431	391	
D	438	448	406	370	345	308	

End of plate 11
Plate 12
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  12/Shelf:12/4*6


CCPM1

 	1	2	3	4	5	6	
A	335	342	329	344	350	290	
B	326	307	314	295	285	298	
C	311	287	295	300	295	313	
D	281	272	319	286	360	401	

End of plate 12
Plate 13
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  13/Shelf:13/4*6


CCPM1

 	1	2	3	4	5	6	
A	379	407	442	416	407	452	
B	387	395	381	415	376	441	
C	436	434	331	320	18	19	
D	384	377	415	449	385	353	

End of plate 13
Plate 14
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  14/Shelf:14/4*6


CCPM1

 	1	2	3	4	5	6	
A	358	331	260	271	254	263	
B	256	261	340	297	315	327	
C	401	412	302	326	330	331	
D	347	361	401	356	364	359	

End of plate 14
Plate 15
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  15/Shelf:15/4*6


CCPM1

 	1	2	3	4	5	6	
A	316	295	286	278	280	266	
B	252	273	262	261	267	254	
C	380	388	351	373	256	282	
D	256	254	294	313	361	367	

End of plate 15
Plate 16
Cassette information:
Assay:-/Prot:-/Cass:-/Func:STOP/Cassette no:  16/Shelf:16/4*6


CCPM1

 	1	2	3	4	5	6	
A	373	405	344	360	276	278	
B	89	59	289	280	459	407	
C	500	464	451	429	423	416	
D	426	394	500	450	497	449	

End of plate 16
Total count rate:   130182.6 CCPM
END
